scientific_name,description,plant_care
coffea arabica,"In nature, the coffee plant is a bush or small tree, much larger than the coffee plants that are grown as houseplants. Coffea arabica is the first type of coffee plant that was cultivated and has been grown in Arabia for more than 1000 years. It is the one most of us drink today. 
The plant originates from the Arabian Peninsula and the mountains of Yemen and it is also found in the highlands of Ethiopia and southeastern Sudan. 

Source: 
https://www.houseplant411.com/houseplant/coffee-plant-how-to-grow-care-guide","Light: Bright, indirect light.
Water: Water when the top 1""-2"" of soil has dried out. Do not let the soil totally dry out.
Fertilizer: Feed twice a year, once in March and again in late summer with a well balanced plant food.
Temperature: Prefers constant temperatures between 60°-75° F, 18.3°-23.9°C.
Humidity: High humidity is essential. Consider placing a small humidifier near the plant or setting it on a wet pebble tray.
Soil: Use is a light weight, pours, acidic soil that contains some peat moss or humus.
Pot: Repot about every two years in the spring when the roots have filled the current pot. Use the next size pot and nothing larger. Be sure the pot has drip holes.
Pruning: Aggressively cut back straggly new growth to keep the plant short and bushy.
Propagation:Propagate in the spring using fresh, unroasted beans. Stem cuttings can be used as well, but the success rate is much less.
Poisonous Plant Info: All parts of a coffee plant are toxic to dogs, cats, and small children. Ingesting any part of the plant can cause hyper-activity, diarrhea, and vomiting.

Source: 
https://www.houseplant411.com/houseplant/coffee-plant-how-to-grow-care-guide"
schefflera arboricola,"The Hawaiian Schefflera plant originates as a flowering outdoor plant from Taiwan and is native to Australia as well. It is still grown outdoors in moderate climates around the world. It is also known as the dwarf umbrella plant. 
The Hawaiian Schefflera is slightly poisonous. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/hawaiian-schefflera-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun as it burns the leaves. Variegated varieties require more light than the solid green varieties. 
Water: Allow the top 1/3 of the soil to dry out, then water.
Fertilizer: Spring-Summer: Feed monthly with balanced plant food diluted to 1/2 strength. Avoid feeding when not actively growing.
Temperature: Average household temperatures. Keep out of cold drafts and away from heaters and air conditioners.
Humidity: Average household humidity.
Soil: Use a well-aerated, loose, quick-draining potting soil that still retains water.
Pot: Prefer to be root-bound in small pots.
Pruning: Aggressively prune when too large or looks thin and leggy.
Propagation: Propagate by stem cuttings, or air layering if the trunk is thick.
Poisonous Plant Info: Slightly poisonous. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/hawaiian-schefflera-plant-how-to-grow-care-guide"
adiantum raddianum,"The Maiden Hair fern is a graceful houseplant with delicate fronds covered in tiny triangular, bright-green leaflets called pinnae. With proper care, this plant can live for a long while, the fronds growing to sometimes reach 20""-24"" in length.
The plant originates from the Brazilian tropics and can be found growing in temperate climates throughout the world.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/maidenhair-fern-how-to-grow-care-guide","Light: Prefers bright, indirect light. Still grows slowly in medium light.
Water: Keep soil moist, but not soggy and never allow it to totally dry out.
Fertilizer: September-March: feed every 2 weeks with a liquid fertilizer diluted to 1/2 strength.
Temperature: Prefers warm areas where the temperature doesn't fluctuate.
Humidity: Prefers high humidity, but do not like to be misted. Place on a pebble tray filled with water, making sure the plant is not sitting in the water.
Soil: Use a quick-draining, very rich soil.
Pot: Likes to be in a small pot. Do not move to a larger pot untill the roots have filled the current pot.
Pruning: Quickly remove dead or dying fronds.
Propagation: Propagates by tiny spores from the underside of their leaves, or plant division.
Poisonous Plant Info: Non-toxic.

Source: 
https://www.houseplant411.com/houseplant/maidenhair-fern-how-to-grow-care-guide"
ravenea rivularis,"The Majesty Palm is not a plant that is recommended for beginners as they are challenging to take care of and not very forgiving. 
Native to Madagascar, Majest Palms do extremely well outdoors in rain forests, swamps, or in tropical areas such as Florida, in nature, growing as tall as 80' high. 
Indoors, a Majesty palm often struggles to survive. Although it is a slow growing plant, in the proper indoor location, the Majesty Palm can grow as tall as 8ft.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/majesty-palm-how-to-grow-care-guide","Light: Needs very bright, indirect light at all times. 
Water: Keep soil moist, but not soggy and never allow it to totally dry out.
Fertilizer: Requires a great deal of food. When actively growing, feed every two weeks with balanced plant food diluted to 1/2 strength.
Temperature: 45°-85°F, 7.2°-29.4°C
Humidity: Likes high humidity, but grows fairly well in average household humidity.
Soil: Use a quick-draining, rich soil. Add sand if using basic houseplant soil mix.
Pot: Sold in 10"" pots or larger.
Pruning: Feed 7-10 days before pruning to encourage new growth at the prune site. Quickly prune any yellow fronds as well as leaves that show disease or infection.
Propagation: Propagate from seeds.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/majesty-palm-how-to-grow-care-guide"
tillandsia caput medusae,"The Tillandsia Caput Medusae is one of the most popular flowering air plant from the bromeliads family.
Native to Central America, in their natural habitat they grow on trees (epiphyte) with a very small amount of roots. As an indoor plant, the Medusa's Head plant needs to be mounted on wood or other sturdy surface and, with the right light and water care, can hang from any surface.
The plant has toxic sap and should be handled with care and kept away from small children and pets.

Source: 
https://www.houseplantsexpert.com/tillandsia-caput-medusae.html","Light: Bright conditions with shade is ideal. Some direct sunlight seems to be fine.
Water: Water by misting with a sprayer frequently during the summer, but do not allow the bulbous to get very wet and remain that way, otherwise this may cause the base to rot. Allow the plant to dry out then give it a good misting again, which could be once a day depending on the climate and weather conditions you have. Winter much less. You can also give the plant a good soak with a watering can once a month, without allowing the bulbous to become waterlogge.
Fertilizer: While misting the Medusa's head plant you can add a weak diluted fertilizer from spring - summer, twice a month.
Temperature: 65° - 86°F (18°- 30 °C
Humidity: High humidity. It does not like dry artificial heat.
Soil: Air plant. Can also do wel in a well-drained potting mix such as a mixture of pumice, coarse sand and potting soil
Pot: Air plant. If potted, use a pot with drain holes.
Pruning: Remove dead leaves.
Propagation: Propagate by removing offsets (pups) and provide the plant with it's own mount, whatever time of year .
Poisonous Plant Info: Toxic sap.

Source: 
https://www.houseplantsexpert.com/tillandsia-caput-medusae.html"
mimosa pudica,"Of the Mimosa species of plants, the Mimosa Pudica, or Sensitive Plant, is the variety that is most often grown as a houseplant. The Sensitive Plant has prickly delicate branches and feathery fronds that fold inward and droop when they are touched, shaken, or even blown on. The plant may produce tiny pink flowers resembling fluffy balls, occuring more often when it is planted outdoors than indoors.
The plant has its origins as a creeping annual plant in Central and South America and is still often used as a ground cover.
These plants are considered poisonous and should be kept away from pets and children.

Source: 
https://www.houseplant411.com/houseplant/mimosa-pudica-plant-how-to-grow-care-guide","Light: Bright light and even direct sun in the early morning.
Water: Keep the soil moist but never soggy.
Fertilizer: Feed every two weeks in the spring and summer with a plant food high in potassium, diiluted to 1/2 strength. 
Temperature: 60°-85°F, 16°-29°C
Humidity: High humidity. Place on a wet pebble tray to increase the humidity, making sure the plant is sitting on the pebbles and not in the water.
Soil: Use well-draining, potting soil.
Pot: Rarely needs re-potting.
Pruning: Prune regularly to keep it full and prevent it from becoming leggy looking.
Propagation: Propagate by stem cuttings in the spring and summer
Poisonous Plant Info: Very toxic houseplant. Always wash your hands with soapy water after touching the leaves. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/mimosa-pudica-plant-how-to-grow-care-guide"
tradescantia spathacea,"The Moses in the Cradle plant are easy to care for, colorful plants that can be grown both indoor and outdoor, in temperate climates. The varieties sold as indoor plants are usually “dwarf” types and only reach a height of about 6”-12.”
They are native to Mexico, the West Indies, Guatemala, and Central America.
The sap is toxic and very irritating. Keep out of reach of children and pets.

Source: 
https://www.houseplant411.com/houseplant/moses-in-the-cradle-plant-how-to-grow-care-guide","Light: At least 6-8 hours a day of very bright light.
Water: Allow the top few inches of soil to dry out, then water. Keep the soil drier during the winter months.
Fertilizer: Spring and Summer: feed monthly with balanced plant food diluted to 1/2 strength. Fall and Winter: Does not require food.
Temperature: 60°-85° F, 16°-19°C during the day and about 10°Fcooler at night
Humidity: Prefers high humidity: Place a small humidifier in the room; Place on a tray of wet pebbles, making sure the plant is sitting on the pebbles and not in the water; Froup plants together to create a mini greenhouse effect.
Soil: Use quick-draining, loose potting soil that retains moisture.
Pot:  In the spring, only if the roots have filled the existing pot re-pot to the next size pot and nothing larger. There must be drip holes in the bottom of the pot.
Pruning: Vigorously prune during the spring to keep the plant looking full and bushy. Always wear gloves since the sap is toxic and very irritating. 
Propagation: Propagate by plant division or stem cuttings.
Poisonous Plant Info: Toxic: the sap is toxic and very irritating. Keep out of reach of children and pets.

Source: 
https://www.houseplant411.com/houseplant/moses-in-the-cradle-plant-how-to-grow-care-guide"
trichilia emetica,"The Natal Mahogany, a hardy, woody, bushy plant with dark green shiny leaves, can reach over 7′ in height and over 4′ in width. 
Originating from South Africa, the Netal Mahogany is an exotic looking houseplant that loves to be watered, making it perfect for people who tend to over-water.
These plants are considered poisonous and should be kept away from pets and children.

Source: 
https://www.houseplant411.com/houseplant/natal-mahogany-plant-how-to-grow-care-guide","Light: Likes medium light but will even grow in lower light.
Water: Thrive on water and are very forgiving when you over-water. Keep their soil consistently moist, but not soggy, at all times. 
Fertilizer: Feed monthly in the Fall and Winter and every other week in the Spring and Summer. 
Temperature: 45°-80°F,  7.2°-26.7°C 
Humidity: Average household humidity.
Soil: A well-draining, slightly moisture retentive organic potting mix is sufficient.
Pot: Usually sold in pot a 10"" or larger.  Move to a larger pot about every 18-24 months, during the spring or summer. The new pot should be only 2""-4"" larger than the roots ball.
Pruning: Prune aggressively to keep it full and bushy.
Propagation: Propagate with plant division. 
Poisonous Plant Info: Toxic: The outer coating of the seeds of a Natal Mahogany plant are poisonous.

Source: 
https://www.houseplant411.com/houseplant/natal-mahogany-plant-how-to-grow-care-guide"
araucaria heterophylla,"The Norfolk Pine, Araucaria Heterophylla, is a stately, symmetrical evergreen tree that thrives indoors in very bright light. Actually, the plant is not really a type of pine at all, it is a conifer member of the Araucariaceae family. 
The plant got its nickname because the tree is native to Norfolk Island, a territory of Australia located in the Pacific Ocean.
If the needles of a Norfolk Pine are ingested by pets or children, they cause severe stomach irritation. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/norfolk-pine-how-to-grow-care-star-pine","Light: Very bright light. Even some direct morning sun.
Water:  Keep the soil barely moist at all times. 
Fertilizer: Feed every other week during the spring, summer, and fall with a well- balanced, liquid fertilizer for acid loving plants diluted to 1/2 strength. Do not feed during the winter.
Temperature:  60-70°F, 15.6°-21.1°C
Humidity: High humidity is important. Dry air causes the needle-like leaves to drop off.
Soil: Use an indoor potting soil that retains moisture but still drains well.
Pot: Re-pot every 2-3 years when their roots have filled the container they are in.
Pruning: Remove dead branches from the bottom of the tree as soon as they appear. Do not cut off the growing point at top of the stem.
Propagation: Can be propagated using seeds, but it is quite difficult. Can also be propagated with stem cuttings: cut 4"" off the top of the stem, including the star shaped foliage. Plant the cutting in a small container of rich potting soil, place the pot in indirect light, and keep the soil barely moist at all times.
Poisonous Plant Info: If the needles of a Norfolk Pine are ingested by pets or children, they cause severe stomach irritation. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/norfolk-pine-how-to-grow-care-star-pine"
cymbidium orchidaceae,"A Cymbidium Orchid plant, or Boat orchid, is among the most attractive, popular, and long lasting orchid plants available throughout the world. The plant produces long, thin, grass–like leaves, with sturdy stems or spikes emerging from the leaves and each spike producing 15-30 beautiful waxy-looking orchid flowers. 
There are over 52 varieties of Cymbidiums, each with a different colors and patterns to their flowers. The blooms often last for months and comein all colors except for blue and black.
These plants originate from Eastern Asia, China, India, Japan, Malaysia, the Philippines, Borneo, northern Australia, and the Himalayas, where they have been cultivated for thousands of years. 
The plant is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cymbidium-orchid-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Do not over-water. Thoroughly drench the plant, then let the excess water drain out the bottom drip holes. Allow the top 50% of the soil to dry then water again.
Fertilizer: Fertilize weakly, when actively growing, weekly with diluted food at 1/3-1/4 strength. Do not feed when it is dormant or when the plant is in bloom.
Temperature: 65°F-70°F, 18.3°C-21.1°C
Humidity: High humidity. If the air doesn't have at least 50% humidity, place your orchid plant on a wet pebble tray. Be sure it is sitting on the pebbles and never in the water. Do not mist as it can cause fungal and bacterial plant diseases.
Soil: Need a special orchid soil or potting medium. Never use regular houseplant soil
Pot: Like to be root-bound. Re-pot when the plant outgrows the current container or the potting medium has decayed. Use clay or plastic pots for orchids. Be sure any pot you use has drainage holes. When re-potting, shake off the excess soil and throw away any pseudobulbs that are shriveled and dried up.
Pruning: Once the flowers die, find the nodes on the flower spike and cut the spike off 1"" above the 3rd node from the bottom. Immediately remove dead or diseased parts.
Propagation: Propagate by plant division: gently split the pseudo bulbs apart with each section having at least three healthy pseudobulbs. Center the bulbs in a new container with the lower 1/3 of the bulb below the soil. The container should be only an inch or two larger than the pseudo bulb cluster
Poisonous Plant Info: Non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cymbidium-orchid-plant-how-to-grow-care-guide"
orchidaceae,"The Moth Orchid, Phalaenopsis Orchid, has quickly become one of the most popular species from the orchidaceae family of flowering plants. The plant produces glorious colored blooms all year round and the relative ease of care makes it a popular houseplant choice. It also lives for quite some time, with proper care, and blooms again and again for many years.
The plant originates from Southeast Asia, Taiwan, and Australia.
It is non-toxic.

Sources: 
https://www.houseplant411.com/houseplant/orchid-phalaenopsis-orchid-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/moth-orchid.html","Light: There is an orchid plant for almost any lighting condition. None like being in the direct sun.
Water: Do not over-water.Always allow the top 50% of the potting mix to dry out, then water. Monthly, check the roots to be sure they are staying whitish green and plump. Set the plant in a deep saucer of water for about 30 minutes so it can absorb water through the drip holes in the bottom on the pot. 
Fertilizer: Fertilize weakly, when actively growing, weekly with diluted food at 1/3-1/4 strength. Do not feed when it is dormant or when the plant is in bloom.
Temperature: 65°F-80°F, 18.3°C-26°C
Humidity: High humidity, 50% or better, is essential. Set plant on a pebble tray with water. Be sure the plant never sits directly in the water.
Soil: Requires a special orchid soil and should never be planted in regular potting soil.
Pot: Re-pot only if the potting medium has decomposed and is not draining quickly enough or if the orchid plant pseudobulbs have outgrown the pot.When re-potting, shake off the excess soil and throw away any pseudobulbs that are shriveled and dried up.
Pruning: Never cut off any air roots that emerge from the soil. When the flower stalk turns yellow or brown, cut the stalk back to about an inch from where it originated on the main stem.
Propagation: Propagate by plant division if they are sympodial, such as a Cattleya, or by stem cuttings if they are monopodeal, such as a Phaleonopsis.
Poisonous Plant Info: Non-toxic

Sources: 
https://www.houseplant411.com/houseplant/orchid-phalaenopsis-orchid-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/moth-orchid.html"
paphiopedilum concolor,"The One Colored Paphiopedilum Concolor, Paphiopedilum Concolor, is suitable for growing indoors when given the correct conditions and care. 
The plant produces attractive dark-green, leathery-textured and oblong-shaped leaves with grayish green smears or blotches (known as mottled). The flowers that bloom are about 2 -3 inches in diameter with two wing petals, a larger upright petal and a kind of slipper shaped lip.
While many Orchids can be quite fussy specimens, which is one of the reasons only a few are grown indoors, the Paphiopedilum perennial plant is one of the easier orchid type flowering plants to grow and maintain, although, they still can be quite particular about the conditions they reside in.
The plant originates from Southeast Asia.
Toxicity is not confirmed. Err on the safe side.

Source: 
https://www.houseplantsexpert.com/the-one-colored-paphiopedilum-concolor.html","Light: As much natural light, no direct sun. In winter, give a few hours artificial lighting.
Water: Keep the soil moist, then re-water again once it begins to dry.
Fertilizer:
Temperature: 70°-80°F, 21°-27°C
Humidity: Moderate to high humidity is preferred. Misting leaves regularly will help moisten the air alongside using a pebble tray that the orchid sits on. 
Soil: Use a soil mix that provide enough aair space to the plant roots and drains well, such as mixtures containing fir bark (or redwood bark or coco husk chips), perlite, and charcoal.
Pot: Re-pot when necessary: A small amount of root showing through the drainage holes is fine, but any-more, then re-pot with a slightly larger pot.
Pruning: Never cut off any air roots that emerge from the soil. When the flower stalk turns yellow or brown, cut the stalk back to about an inch from where it originated on the main stem.
Propagation: Propagate by plant division.
Poisonous Plant Info: Not confirmed. Err on the safe side.

Source: 
https://www.houseplantsexpert.com/the-one-colored-paphiopedilum-concolor.html"
calathea ornata,"The Pin-Stripe Calathea is a perennial plant that is known for its large leaves that have a distinctive pattern and bright colors. The leaves grow at the end of long stems that require the right care in order to continue looking as healthy as possible. If kept indoors the plant will not grow much larger than 2ft wide or 2ft tall. It can also be kept outdoors, among other plants with large foliage.
Calathea Ornata is a plant that is native to South America and seen in many tropical climates such as Thailand. 
It is non-toxic.

Source: 
https://www.houseplantsexpert.com/pin-stripe-calathea-ornata.html","Light: Bright, indirect light. No need for direct sunlight.
Water: Warmer months: keep soil moist or water when the soil begins to dry. Winter months: Keep watered, but allow the top soil to dry out in between waterings. 
Fertilizer: Only feed during the growing season, April-October, every couple weeks with a diluted, balanced fertilizer.
Temperature:  65°-75°F, 18°-23°C
Humidity: Make sure the air is not too dry by using pebble trays or humidifiers, In summer, can mist the leaves daily.
Soil: Use a peat-based potting mix: 2 parts peat and 1 part perlite.
Pot: Only re-pot in the spring, once every two years, if the plant has outgrown its current pot.
Pruning: Prune dying or dead leaves.
Propagation: Propagate by plant division. Divide clumps of leaf stalks and leaves with roots.
Poisonous Plant Info: Toxic. Keep out of reach of small children and pets.

Source: 
https://www.houseplantsexpert.com/pin-stripe-calathea-ornata.html"
podocarpus macrophyllus,"The Japanese Yew, Podocarpus Macrophyllus, is a very dense, upright, slow growing evergreen that is relatively simple to care for and adapts well to various conditions. It has long, slender, dark-green, leathery leaves and grows straight up with very little side branching unless it is actively pruned. 
The Japanese Yew originally came from China and Japan. It is easily trained to be a bonsai or a topiary. 
These plants are considered poisonous and should be kept away from pets and children.

Source: 
https://www.houseplant411.com/houseplant/podocarpus-plant-how-to-grow-care-guide","Light: Very bright, indirect light.
Water: Keep the soil moist but not soggy; allow the top two inches to dry out, the water.
Fertilizer: Feed a Podocarpus every two weeks when it is actively growing in the spring and summer. Use a plant food that is designed for acid-loving plants such as Miracid at 1/2 strength.
Temperature: 50°-75°F, 10°-23.9°C
Humidity: Best in medium humidity.
Soil: Use a well-aerated acidic soil.
Pot: Re-pot annually in the spring into a larger pot, with fresh soil.
Pruning: Aggressively prune to maintain shape.
Propagation: Propagate by soft wood stem cuttings in the early spring.
Poisonous Plant Info: Toxic, especially the seeds within the berries. Keep out of reach of small children and animals.

Source: 
https://www.houseplant411.com/houseplant/podocarpus-plant-how-to-grow-care-guide"
euphorbiaceae pulcherrima,"The Poinsettia plant, Euphorbia Pulcherima, is a popular indoor flowering plant that is sold in the U.S. during the winter, for six weeks out of the year. The colorful parts of the Poinsettia are actually modified leaves (bracts) and not flower petals.
The plant is native to Mexico; Joel Roberts Poinsett, the first US ambassador to Mexico, and a botanist, found poinsettias growing in Taxco, Mexico and had them sent back to his home in South Carolina.
The plant is toxic and should be kept out of reach of pets and small children.

Sources: 
https://www.houseplant411.com/houseplant/poinsettia-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/poinsettia-plant.html","Light: Very bright, indirect light, but no direct sun from January to late September.  At the end of September, move your poinsettia to a location where it will be in total darkness for 12-15 hours a day. Keep the plant in this location until the leaves begin to to turn color in December.
Water: Allow the top 50% of the soil to dry out, then water, to prevent root rot.
Fertilizer:  Feed a poinsettia monthly from late February until December with a balanced plant food diluted to 1/2 the strength.
Temperature: 65°-70°F, 18.3°-21.1°C during the day and around 60°F, 15.6°C at night.
Humidity: Average household humidity.
Soil: Use a quick-draining, high quality, sterile, acidic potting soil.
Pot: The pot should be 2""-4"" larger than the root ball of the plant, only, with drip holes.
Pruning: Prune twice a year, once in spring and again in late summer.
Propagation: Propagate using 3""-4"" stem cuttings only from healthy new growth, not old stems.
Poisonous Plant Info: Non-toxic, but some animals and people might be sensitive to the sap, causing irritation on the skin.

Sources: 
https://www.houseplant411.com/houseplant/poinsettia-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/poinsettia-plant.html"
primula obconica,"The Poison Primrose, Primula Obconica, is a popular perennial flowering pot plant, winter and spring, that produces attractive flower clusters in a variety of colors.
It is named the Poison Primrose because it can cause irritation on contact for those with sensitive skin.
The plant originates from China.
The plant is toxic to cats and dogs and can cause skin irritation on contact. 

Source:
https://www.houseplantsexpert.com/poison-primrose.html","Light: Bright, indirect light. No direct sun.
Water: During the flowering season, keep soil moist at all times.
Fertilizer: Feed only once before flowering and once while in bloom with a balanced liquid fertilizer, diluted to 1/2 strength.
Temperature: 55°-65°F, 13°-18°C
Humidity: If air is low humidity, place the plant on a pebble humidity tray, taking care not to let the plant sit in the water, and mist the leaves occasionally.
Soil: Use a peat based potting mix.
Pot: When re-potting, use gloves to prevent skin irritation.
Pruning: Use gloves to prevent skin irritation.
Propagation: Propagate by sowing seeds during summer time.
Poisonous Plant Info: Toxic. Keep away from children and pets.

Source:
https://www.houseplantsexpert.com/poison-primrose.html"
hypoestes phyllostachya,"The Polka Dot plant, Hypoestes phyllostachya, is a small, brightly colored plant with oval, pointed, delicate, green leaves are covered in spots and splashes of red, rose, white, or light-green. Indoors, as a houseplant, a polka dot plant usually comes in a 4″ or a 6″ containers. 
Polka Dot plants need to be aggressively pruned and the growing tips frequently pinched to avoid becoming thin and leggy.
The plant is native to Madagascar, Southeast Asia, and South Africa.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/polka-dot-plant-how-to-grow-care-guide","Light: Bright, indirect light. The colors in the leaves fade with Too much or too little light.
Water: Water a polka dot plant well and then allow the top 25% of the soil to dry out before watering again. Do not over-water to avoid root rot.
Fertilizer: Spring-Summer: Feed a polka dot plant monthly with a balanced, liquid fertilizer diluted to 1/2 strength. Fall-Winter: feed every other month.
Temperature: Warm temperatures around 75°F, 23.9°C.
Humidity: Average humidity. Grows faster in high humidity.
Soil: Use a well-draining, rich, loose, peat-based soil.
Pot: Usually found in 4"" and 6"" pots. Their root system is very small, so they rarely need a container bigger than 6"".
Pruning: Aggressively prune to prevent it from becoming leggy and thin.
Propagation: Propagate by stem tip cuttings.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/polka-dot-plant-how-to-grow-care-guide"
beaucarnea recurvata,"The slow-growing, easy care Ponytail Palm is not really a palm at all, but a relative of the Yucca and Lily plants and a member of the Agave family. 
There are no two ponytail palms that are exactly alike. The plant has a large, swollen base that some say resembles an elephant’s foot, and a thin trunk topped with flat, dark green, grass-like leaves. The leaves are about an inch wide and often 5'-6' long with sharp edges.
The plant is non-toxic.

Source:
https://www.houseplant411.com/houseplant/ponytail-palm-plant-how-to-grow-care-guide","Light: Very bright, indirect light or full sun.
Water: Do not overwater. Allow the top 50-70% of the soil to dry, then water. During warm months, water every 7-14 days; in winter, every 3-4 weeks.
Fertilizer: Spring-Summer: Feed monthly with a basic houseplant food diluted to 1/2 the recommended strength.
Temperature: Like warm temperatures above 60°F, 15.6°C.
Humidity: Does well in warm, dry air.
Soil: Use a fast-draining, light soil with a lot of sand in it to prevent over-watering.
Pot: Keep in a small pot to keep the plant small. When moved to a larger pot, the Palm grows faster and the trunk can expand.
Pruning: Trim the brown ends off leaves with wet scissors.
Propagation: Propagate bu separating offsets or suckers that grow around the base of the plant.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplant411.com/houseplant/ponytail-palm-plant-how-to-grow-care-guide"
epipremnum aureum,"Pothos plants are highly-adaptable, hardy, easy to care for plants that are good for beginners as long as they are careful not to over-water. The leaves of the pothos come in a variety of colors and leaf patterns, depending on the variety. Indoors, they can be potted, hung in a basket, or attached to a pole or board for support.
The plant originates from the jungles of Malaysia, China, Australia, and islands in the Pacific and Indian Oceans. 
Pothos plants are considered poisonous. A pothos plant is toxic to dogs, cats, and children; and the long vines should be kept out of reach.

Source: 
https://www.houseplant411.com/houseplant/pothos-plant-how-to-grow-care-guide","Light: There is a pothos plant variety for almost any light situation: The lighter the colors in the leaves of a pothos plant, the more light the plant requires.
Water: Water well and then allow the top 50% of the soil to dry out then water again. Do not over-water.
Fertilizer: Feed every two weeks in the spring and summer when the plant is actively growing, with well-balanced plant food diluted to 1/2 strength. Feed monthly in the fall and winter.
Temperature: 55°-80°F, 12.8°-26.7°C
Humidity: Average humidity.
Soil: Use a quick-draining, well-aerated potting soil.
Pot: Likes to be root-bound in a small pot. Only move to a slightly larger container once the roots have filled the current container. Make sure the pot has drip holes.
Pruning: Aggressively prune long vines to keep the plant looking full and bushy.
Propagation: Propagate by stem cuttings.
Poisonous Plant Info: Toxic. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/pothos-plant-how-to-grow-care-guide"
maranta leuconeura,"The prayer plant (Maranta leuconeura) is primarily grown as an indoor plant. At night, the leaves of a prayer plant fold up as though praying and, in the morning, as the plant reaches for the light, the leaves unfurl and open again. 
Prayer Plants are native to tropical Central and South America and the West Indies.
The plant is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/prayer-plant-how-to-grow-care-guide
","Light: Medium to high light. No direct sun.
Water: Keep the soil barely moist but never soggy at all times. Water less in the winter when the plant is resting.
Fertilizer: An acid-loving houseplant, feed every two weeks in the spring and summer with a food like Miracid diluted to 1/2 strength. It’s not necessary to feed a prayer plant in the winter and fall.
Temperature: 60°-80°F, 15.6°-26.7°C
Humidity: High humidity. Place plant on a pebble tray filled with water. Be sure the plant is sitting on the pebbles and not in the water.
Soil: Use a quick-draining, well-aerated, peat-based, indoor potting soil that retains water.
Pot: Because of its very short roots, use a shallow pot that has drip holes in the bottom.
Pruning: Trim stems twice a year to keep the plant compact and bushy.
Propagation: Propagate by plant division and stem cuttings.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/prayer-plant-how-to-grow-care-guide"
gynura aurantiaca,"The Purple Velvet plant (Gynura aurantiaca), is both an outdoor woody perennial that can often grow up to 4 ft. wide and 2-3ft in height as well as an indoors plant with beautifully-shaped green leaves covered in velvety purple hairs and areddish-purple underside. The Purple Velvet plant produces small yellow/orange flowers that have an offensive smell and should probably be removed as soon as they appear.
The plant originated in Indonesia and requires bright light and aggressive pruning to keep it looking good. 
Although the plant is listed as non-poisonous, some people have an allergic reaction from touching the plant.

Source:
https://www.houseplant411.com/houseplant/purple-velvet-plant-how-to-grow-care-guide
","Light: Bright, indirect light.
Water: Allow the top 25% of the soil to dry out, then water. Do not overwater due to root rot.
Fertilizer: Spring-Summer: Feed weekly when actively growing with a balanced fertilizer diluted to 1/2 strength. Feed monthly in the fall and every other month during the winter, when the plant is in its resting period.
Temperature: 65°-85°F, 18.3°-29.4°C
Humidity: Likes high humidity
Soil: Use a quick-draining, basic indoor potting soil that retains moisture.
Pot: Keep root-bound in small pots. Make sure there are drainage holes in the bottom of the pot.
Pruning: Aggressively prune before the plant starts to get long and leggy.
Propagation: Propagate with stem cuttings rooted in water or planted in soil.
Poisonous Plant Info: Listed as non-poisonous, some people have an allergic reaction from touching the plant.

Source:
https://www.houseplant411.com/houseplant/purple-velvet-plant-how-to-grow-care-guide"
